comment_id,video_id,video_url,video_title,author,text,published_at,like_count,reply_count,score
UgxO_0Ibvjfy_BJOSZF4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@brendajohnson5262,The Duke should be back as a loving and devoted husband and father. Both of them should be the example for the others in the family. To guild and give good advise. Should be a strong couple.,2022-04-20T00:46:15Z,340,6,346
Ugxera-1Sdoz9VBQT2h4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@breiluchaco1788,"Yes, the actor that played Duke Simon Hastings was a excellent actor. It is sorely missed that he wouldn’t agree to at least make appearances with his Duchess and child in the second season.",2022-05-04T07:15:10Z,200,5,205
UgxgFblothWEwN-yail4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@malovina,"I liked that in this season they showed what happens after marriage. A lot of times movies etc. wrap up on the wedding, as though it ends there.",2023-03-24T05:35:31Z,179,0,179
Ugy5aZyGhfLQQRsSWHV4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@natalieraeann,“Put down that book at once you will confuse your thoughts” pls why is this so funny,2023-05-12T02:38:30Z,98,2,100
UgyN2kN3ar_UJAgJVbd4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@Dianasville,I wish Rene Jean Page would come back!  He is so wanted!!!!,2023-02-22T06:08:43Z,82,2,84
UgxljIWIWki_SUvmIn14AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@daileiteevans,Oh my gosh...I am Crazy and Crazy for Bridgerton!! ❤️,2022-04-07T15:57:38Z,64,2,66
Ugy4FbBwfVKwkxeYU4V4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@jenniferward5216,I have looked at Season 1 15 times and all I can see is the true sparks between Simon and Daphne.  I  think that his real life is a RUSE.  Their love shows substance two beautiful souls.,2023-02-07T21:09:35Z,56,2,58
UgyJTi_KlcZW6AfG9u94AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@deborahwilson-vaughn9249,Thanks for letting the show speak for its self,2022-07-04T16:49:35Z,48,0,48
UgzBsvwB_HULS3KA6PR4AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@pyrenees1234,"Julia Quinn has been screaming the identity of Lady Whistledown the whole time.......every time Colin says ""Pen""!!!!!!!",2022-06-04T22:28:01Z,38,0,38
UgwY7KvmS7gYslACDn94AaABAg,jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,@piyakanityen-ura9297,"I saw chemistry between Anthony and Daphne, surprisingly.  If I had known nothing about the series and just watched, I would have guessed that Anthony secretly loved his own sister.",2022-04-26T05:12:05Z,30,6,36
