video_id,url,title,published_at,channel_title,view_count,like_count,comment_count
jyCUaXjbL1s,https://www.youtube.com/watch?v=jyCUaXjbL1s,Bridgerton Season 1 (2020) Sum-up,2022-02-04T16:45:02Z,Summarize Everything,1571626,8404,158
NQhPYER_uwk,https://www.youtube.com/watch?v=NQhPYER_uwk,Бриджертоны | Сериал | По какой такой причине?,2022-05-22T17:12:39Z,Vidosoman,721838,24262,187
Le3XRTKtlos,https://www.youtube.com/watch?v=Le3XRTKtlos,Красивый момент🥰😍Сериал: Бриджертоны 2,2022-04-30T01:38:03Z,eva ina,644930,19537,246
yTL9OUFgYI8,https://www.youtube.com/watch?v=yTL9OUFgYI8,Бриджертоны | Неужели я столь слепа? | Сериал 2 сезон,2022-05-16T15:59:42Z,Vidosoman,480350,22231,288
_T8h9OqzCzA,https://www.youtube.com/watch?v=_T8h9OqzCzA,Знакомство с семьями | Бриджертоны 1 сезон 1 серия,2021-04-15T14:25:10Z,KINOKADR Моменты из сериалов,386104,1854,51
sGMhrIlxGYU,https://www.youtube.com/watch?v=sGMhrIlxGYU,Beautiful момент ❤️😍Сериал: Бриджертоны 2,2022-05-02T22:14:37Z,eva ina,383970,11903,131
DSXZw_Nojvg,https://www.youtube.com/watch?v=DSXZw_Nojvg,Бриджертоны в полном составе 💕 3 сезон 🌿 #serial #tvserial #bridgerton #kathony #spring,2024-05-15T17:38:08Z,Смотритель сериального маяка,145332,6270,46
KBa08Y5dmvQ,https://www.youtube.com/watch?v=KBa08Y5dmvQ,Пен изменила имидж и стала намного счастливее ✨ #serial #bridgerton #bridgertonseason3 #бриджертоны,2024-05-25T17:20:09Z,Смотритель сериального маяка,138707,4402,34
ItjtPsgfuVM,https://www.youtube.com/watch?v=ItjtPsgfuVM,Брак в эпоху Регентства: «Бриджертоны» были правы?,2024-06-19T16:57:53Z,Правое полушарие Интроверта,100608,4422,128
1E0D6mXyBG4,https://www.youtube.com/watch?v=1E0D6mXyBG4,Ночная встреча Энтони и Кэйт в библиотеке 🔥Сериал: Бриджертоны 2,2022-06-08T19:00:13Z,eva ina,89327,2183,30
DAqKe8_ft6k,https://www.youtube.com/watch?v=DAqKe8_ft6k,"Бриджертоны (4 сезон) — Русский Трейлер (Дубляж, 2026)",2025-12-25T17:49:48Z,топКино,75295,1590,137
l3TsQlXeD3w,https://www.youtube.com/watch?v=l3TsQlXeD3w,Психологические проблемы «Бриджертонов»,2024-08-11T09:00:37Z,Правое полушарие Интроверта,72051,3185,137
6pS2sNwkFmQ,https://www.youtube.com/watch?v=6pS2sNwkFmQ,«Бриджертоны»: реальный возраст актёров сериала,2024-06-14T13:38:29Z,Cultural Channel  Культурный канал,61268,1892,23
EmV9oG1hzBo,https://www.youtube.com/watch?v=EmV9oG1hzBo,Кто твой любимый Бриджертон? 😍 #бриджертоны #любовь #ревность #сериал #нетфликс,2024-06-18T16:00:21Z,theGirl,59543,1803,33
-cnqDbztwWY,https://www.youtube.com/watch?v=-cnqDbztwWY,ОБРАЗ ПЕНЕЛОПЫ ИЗ БРИДЖЕРТОНОВ✨ #бьютиблог #урокмакияжа #макияж #бриджертоны,2024-07-01T06:58:10Z,Mary Levin,47167,3972,40
xKJr9K8558c,https://www.youtube.com/watch?v=xKJr9K8558c,БРИДЖЕРТОНЫ: почему нам нравятся истории о любви?(ОкКульт),2025-04-15T18:14:15Z,ОкКульт,38048,2035,243
xl65ISqd0YE,https://www.youtube.com/watch?v=xl65ISqd0YE,Какой персонаж  следующий? 💗#bridgerton #бриджертоны #элоизабриджертон,2024-07-16T15:29:07Z,Anastasia Voevoda,37047,4108,59
WnUA8yE_CC8,https://www.youtube.com/watch?v=WnUA8yE_CC8,А с кем ты видишь Люка Ньютона? 😍 #любовь #отношения #бриджертоны #люкньютон #николакохлан,2024-06-21T16:00:27Z,theGirl,24664,590,9
kJFQWEARoAQ,https://www.youtube.com/watch?v=kJFQWEARoAQ,Бриджертоны 4 сезон | официальный тизер [rus sub],2025-02-14T19:16:15Z,growgill,21671,126,2
U005svnLXaw,https://www.youtube.com/watch?v=U005svnLXaw,Бриджертоны | Сериал,2024-02-09T18:20:17Z,myserials,18534,248,0
KKuCXC7qeW0,https://www.youtube.com/watch?v=KKuCXC7qeW0,"Бриджертоны (4 сезон) — Официальный тизер (субтитры, сериал, 2025)",2025-05-15T09:29:07Z,Smotrim-vkino,12774,69,4
zslsllo9d-s,https://www.youtube.com/watch?v=zslsllo9d-s,"Кейт Шарма и Энтони💔: мужская ревность в лице Энтони (Бриджертоны, прогулка у озера)",2024-08-04T08:32:54Z,Женский кинозал Милачки,12705,122,13
nXBpJOsVpHI,https://www.youtube.com/watch?v=nXBpJOsVpHI,Колин «думаю о Пенелопе» Бриджертон 🔥 #bridgerton #colinbridgerton #polin #serial  #бриджертоны,2024-06-01T15:19:51Z,Смотритель сериального маяка,12023,627,13
81t7wJhSCec,https://www.youtube.com/watch?v=81t7wJhSCec,Стоит ли смотреть Бриджертонов? 🇬🇧 #бриджертоны #английский #английскийязык,2024-06-24T18:51:56Z,znaem.online,5568,189,5
